4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000075 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000076 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000077 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000078 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x4000007A (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x4000007B (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x4000007C (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x4000007D (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x4000007E (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x4000007F (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000080 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000081 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000082 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000083 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000084 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000085 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000086 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000087 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000088 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000089 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x4000008A (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x4000008C (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x4000008E (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x4000008F (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000092 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000093 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000094 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000095 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000096 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000097 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x40000098 (SulfurousAsh)
